Product ID,Week,Orders,Inventory
1000,2025-01-06,0.0,377.66666666666663
1000,2025-01-13,0.0,21.0
1000,2025-01-20,0.0,21.0
1000,2025-01-27,0.0,21.0
1001,2025-01-06,0.0,611.6666666666666
1001,2025-01-13,0.0,188.75
1001,2025-01-20,0.0,423.08333333333337
1001,2025-01-27,0.0,188.75
1003,2025-01-06,0.0,252.0
1003,2025-01-13,0.0,250.79999999999998
1003,2025-01-20,0.0,250.79999999999998
1003,2025-01-27,0.0,250.79999999999998
1008,2025-01-06,0.0,179.0
1008,2025-01-13,0.0,32.199999999999996
1008,2025-01-20,0.0,32.199999999999996
1008,2025-01-27,0.0,32.199999999999996
1013,2025-01-06,0.0,182.5
1013,2025-01-13,336.5,392.0
1013,2025-01-20,0.0,55.5
1013,2025-01-27,0.0,55.5
1014,2025-01-06,73.05000000000001,169.05
1014,2025-01-13,311.0,407.0
1014,2025-01-20,0.0,169.05
1014,2025-01-27,0.0,169.05
1017,2025-01-06,0.0,755.0
1017,2025-01-13,0.0,109.19999999999999
1017,2025-01-20,0.0,109.19999999999999
1017,2025-01-27,0.0,109.19999999999999
1027,2025-01-06,0.0,168.0
1027,2025-01-13,0.0,168.0
1027,2025-01-20,0.0,168.0
1027,2025-01-27,0.0,168.0
1030,2025-01-06,256.5,12.0
1030,2025-01-13,0.0,12.0
1030,2025-01-20,0.0,12.0
1030,2025-01-27,0.0,12.0
1034,2025-01-06,0.0,533.0
1034,2025-01-13,0.0,178.20000000000002
1034,2025-01-20,0.0,178.20000000000002
1034,2025-01-27,0.0,178.20000000000002
1035,2025-01-06,0.0,605.25
1035,2025-01-13,0.0,175.5
1035,2025-01-20,0.0,175.5
1035,2025-01-27,0.0,175.5
1040,2025-01-06,194.2,46.199999999999996
1040,2025-01-13,0.0,46.199999999999996
1040,2025-01-20,0.0,46.199999999999996
1040,2025-01-27,0.0,77.39999999999998
1049,2025-01-06,0.0,576.0
1049,2025-01-13,0.0,69.3
1049,2025-01-20,0.0,429.3
1049,2025-01-27,0.0,69.3
1051,2025-01-06,0.0,614.0
1051,2025-01-13,0.0,110.50000000000001
1051,2025-01-20,0.0,110.50000000000001
1051,2025-01-27,0.0,110.50000000000001
1056,2025-01-06,140.75,57.75
1056,2025-01-13,0.0,297.0
1056,2025-01-20,0.0,247.75
1056,2025-01-27,0.0,57.75
1057,2025-01-06,5.5,123.5
1057,2025-01-13,0.0,123.5
1057,2025-01-20,0.0,123.5
1057,2025-01-27,0.0,123.5
1059,2025-01-06,0.0,443.0
